Key Typed
Key Line: 16
Key Position: 238
Key Code: 0
Key Typed
Key Line: 16
Key Position: 239
Key Code: 0
Key Typed
Key Line: 16
Key Position: 238
Key Code: 0
Key Character: 

Key Typed
Key Line: 16
Key Position: 239
Key Code: 0
Key Character: 1
Key Pressed: {line:16, position:238, code:17, character:￿}
Key Released: {line:16, position:237, code:37, character:￿}
Key Released: {line:15, position:236, code:37, character:￿}
Key Released: {line:15, position:236, code:17, character:￿}
Key Pressed: {line:15, position:236, code:18, character:￿}
Key Typed: {line:16, position:238, code:0, character:
}
Key Released: {line:16, position:238, code:10, character:
}
Key Pressed: {line:16, position:238, code:49, character:1}
Key Typed: {line:16, position:239, code:0, character:1}
Key Released: {line:16, position:239, code:49, character:1}
Key Pressed: {line:16, position:239, code:18, character:￿}
Key Released: {line:17, position:240, code:39, character:￿}
Key Released: {line:16, position:239, code:37, character:￿}
Key Released: {line:17, position:240, code:39, character:￿}
Key Released: {line:17, position:241, code:39, character:￿}
Key Released: {line:17, position:240, code:37, character:￿}
Key Released: {line:16, position:239, code:37, character:￿}
Key Pressed: {line:16, position:239, code:17, character:￿}
Key Typed: {line:16, position:239, code:0, character:}
Key Released: {line:16, position:239, code:89, character:}
Key Released: {line:16, position:239, code:17, character:￿}
Key Typed: {line:16, position:239, code:0, character:}
Key Released: {line:16, position:239, code:127, character:}
Key Pressed: {line:16, position:239, code:17, character:￿}
Key Typed: {line:17, position:240, code:0, character:}
Key Released: {line:17, position:240, code:90, character:}
Key Released: {line:17, position:240, code:17, character:￿}
Key Released: {line:16, position:239, code:37, character:￿}
Key Pressed: {line:16, position:239, code:17, character:￿}
Key Typed: {line:16, position:238, code:0, character:}
Key Released: {line:16, position:238, code:8, character:}
Key Released: {line:16, position:238, code:17, character:￿}
Key Typed: {line:16, position:237, code:0, character:}
Key Released: {line:16, position:237, code:8, character:}
Key Typed: {line:15, position:236, code:0, character:}
Key Released: {line:15, position:236, code:8, character:}
Key Pressed: {line:15, position:236, code:17, character:￿}
Key Typed: {line:15, position:236, code:0, character:}
Key Released: {line:15, position:236, code:83, character:}
Key Released: {line:15, position:236, code:17, character:￿}
Key Pressed: {line:15, position:236, code:18, character:￿}
Key Typed: {line:16, position:238, code:0, character:
}
Key Released: {line:16, position:238, code:10, character:
}
Key Typed: {line:16, position:239, code:0, character:	}
Key Released: {line:16, position:239, code:9, character:	}
Key Typed: {line:16, position:238, code:0, character:}
Key Released: {line:16, position:238, code:8, character:}
Key Pressed: {line:16, position:238, code:18, character:￿}
Key Pressed: {line:16, position:238, code:83, character:s}
Key Typed: {line:16, position:239, code:0, character:s}
Key Released: {line:16, position:239, code:83, character:s}
Key Pressed: {line:16, position:239, code:84, character:t}
Key Typed: {line:16, position:240, code:0, character:t}
Key Released: {line:16, position:240, code:84, character:t}
Key Pressed: {line:16, position:240, code:65, character:a}
Key Typed: {line:16, position:241, code:0, character:a}
Key Released: {line:16, position:241, code:65, character:a}
Key Pressed: {line:16, position:241, code:84, character:t}
Key Typed: {line:16, position:242, code:0, character:t}
Key Released: {line:16, position:242, code:84, character:t}
Key Pressed: {line:16, position:242, code:73, character:i}
Key Typed: {line:16, position:243, code:0, character:i}
Key Released: {line:16, position:243, code:73, character:i}
Key Pressed: {line:16, position:243, code:67, character:c}
Key Typed: {line:16, position:244, code:0, character:c}
Key Released: {line:16, position:244, code:67, character:c}
Key Pressed: {line:16, position:244, code:32, character: }
Key Typed: {line:16, position:245, code:0, character: }
Key Released: {line:16, position:245, code:32, character: }
Key Pressed: {line:16, position:245, code:16, character:￿}
Key Pressed: {line:16, position:245, code:91, character:{}
Key Typed: {line:16, position:246, code:0, character:{}
Key Released: {line:16, position:246, code:91, character:{}
Key Released: {line:16, position:246, code:16, character:￿}
Key Typed: {line:17, position:249, code:0, character:
}
Key Released: {line:17, position:249, code:10, character:
}
Key Pressed: {line:17, position:249, code:18, character:￿}
Key Released: {line:17, position:249, code:9, character:	}
Key Pressed: {line:17, position:249, code:18, character:￿}
Key Pressed: {line:17, position:249, code:18, character:￿}
Key Released: {line:17, position:249, code:9, character:	}
Key Pressed: {line:17, position:249, code:18, character:￿}
Key Pressed: {line:17, position:249, code:18, character:￿}
Key Pressed: {line:17, position:249, code:16, character:￿}
Key Pressed: {line:17, position:249, code:93, character:}}
Key Typed: {line:17, position:249, code:0, character:}}
Key Released: {line:17, position:249, code:93, character:}}
Key Released: {line:17, position:249, code:16, character:￿}
